State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of tribal casinos,Closed businesses overnight,Began to reopen businesses statewide,Reopened restaurants,Initially reopened restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopened religious gatherings,Reopened other non-essential retail,Reopened bars,Reopened child care,Reopened casinos,Allowed businesses to reopen overnight,Began to re-close bars,Closed bars x2,Closed movie theaters x2,Closed gyms x2,Closed hair salons/barber shops x2,Closed restaurants x2,Closed casinos x2,Reopened restaurants x2,Reopened bars x2,Reopened gyms x2,Reopened movie theaters x2,Reopened casinos x2,Closed bars x3,Closed restaurants x3,Reopened restaurants x3,,School & day care notes,Nursing home notes,Religious gathering notes,Restaurant notes,Bar notes,Gym notes,Movie theater notes,Business notes,Casino notes,Overnight closure notes
Alabama,AL,1,3/20/2020,3/20/2020,3/19/2020,3/28/2020,3/19/2020,3/28/2020,3/28/2020,3/19/2020,3/28/2020,0,0,4/30/2020,5/11/2020,0,5/11/2020,5/22/2020,5/11/2020,5/11/2020,4/30/2020,5/11/2020,5/23/2020,5/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"AL - 4/30 order does not include entertainment venues, athletic facilities, and close contact personal care retail (salons, tattoo parlors etc); 5/11 order allows most retail/personal care/gyms to open",,
Alaska,AK,2,3/16/2020,0,0,3/24/2020,3/18/2020,3/18/2020,3/18/2020,3/18/2020,0,0,0,4/24/2020,4/24/2020,0,5/8/2020,5/8/2020,4/24/2020,5/8/2020,4/24/2020,5/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"AK-25% capacity, social distancing measures required, only households can dine together, reservations only",,AK- UPDATED 5/27,,"AK - Some businesses allowed to operate at minimum basic operations despite order to close non-essential businesses; Limited businesses open 4/24, most businesses permitted to reopen 5/8 with restrictions",,
Arizona,AZ,4,3/16/2020,0,0,3/31/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,0,0,0,5/8/2020,5/11/2020,0,5/13/2020,5/16/2020,5/8/2020,0,5/8/2020,5/16/2020,0,0,0,6/29/2020,6/29/2020,6/29/2020,6/29/2020,0,0,0,0,0,0,0,0,0,0,0,,,,AZ-no state action to close,,,,,"AZ - 5/8 order mostly applies to retail and personal care (hair salons and barber shops); 5/11 restaurants; 5/13 reopen pools, gyms, spas",AZ- casinos temp closed but the decision was left up to sovereing tribal nations. Not a statewide mandate,
Arkansas,AR,5,3/17/2020,0,3/13/2020,4/6/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,03/17/2020,0,11/19/2020,5/4/2020,5/11/2020,0,5/4/2020,5/18/2020,5/6/2020,0,5/18/2020,5/19/2020,0,05/18/2020,1/3/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,AR - 5/4 reopen gyms/fitness centers; 5/6 personal care reopen; 5/11 restaurants; 5/18 large venues reopen,,AR - Curfew for restauarants and bars that sell alcoholic beverages
California,CA,6,3/23/2020,0,0,3/19/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,0,0,11/21/2020,5/8/2020,5/18/2020,0,0,0,8/28/2020,5/25/2020,5/8/2020,0,0,0,1/25/2021,0,0,0,0,0,7/13/2020,0,0,0,0,0,0,0,0,0,,,,,,"CA - Bars never reopened statewide, however a 6/28 governor ordered all bars and nightlife to close in seven counties","CA - 7/13 reclosed gyms in some counties, but not statewide",CA - Order on 6/12 stating that counties meeting certain metrics could re-open at 25% capacity. On 7/13 there was an order closing all movie theaters,"CA - Restaurants and non-essential businesses closed with stay-at-home order; Manufacturing offices (when telework not possible), outdoor museums Limited Personal Services",,CA - State-wide California order implemented regional stay at home orders
Colorado,CO,8,3/23/2020,0,3/12/2020,3/19/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/17/2020,0,0,5/1/2020,5/27/2020,0,6/4/2020,6/18/2020,5/1/2020,6/4/2020,5/1/2020,6/18/2020,0,0,0,6/30/2020,6/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,CO - Retail and personal services can open 5/1/2020 if implementing best practices; Non-critical offices may open 5/4/2020 must be at 50% capacity,"CO- local ""variances"" allowed certain county re-openings no statewide opening order as of 11/30/2020",
Connecticut,CT,9,3/17/2020,0,3/9/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,0,1,11/2/2020,5/20/2020,5/20/2020,1,6/17/2020,6/17/2020,6/1/2020,5/29/2020,5/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"CT: There was a 49 person limit prior to 5/29, this officially allowed for 25% capacity or 100 people indoors.","CT-outdoor seating only, 50% capacity; 6/17 reopened for indoor dining",,,,"CT - 5/20 open restaurants, retail, offices, personal care, outdoor museums and zoos, university research",CT- governor negotiated with tribal casinos for their closing and reopening of tribal casinos. The only non-tribal gaming is OTB. ,"CT - Restuarant curfew was originally 9:30 p.m. It was recently relaxed to 11 p.m. on February 2, 2021"
Delaware,DE,10,3/16/2020,4/6/2020,0,3/24/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,03/16/2020,0,12/14/2020,5/8/2020,6/1/2020,0,6/1/2020,6/1/2020,6/8/2020,5/20/2020,5/20/2020,6/15/2020,6/15/2020,06/01/2020,1/8/2021,7/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DE - Day cares only remained open for children of essential workers,,,,,,DE- not specifically mentioned in guidance but according to new reports allowed to open for phase 1 on 6/1 at 30% capacity,"DE - 5/8 reopen personal care (hair salons/barber shops) with restrictions, can only serve those working in essential businesses 5/22 reopen pools",,DE - Curfew for restauarants and bars that sell alcoholic beverages
District of Columbia,DC,11,3/16/2020,0,0,3/25/2020,3/16/2020,3/17/2020,3/17/2020,3/16/2020,0,0,11/23/2020,5/29/2020,5/29/2020,1,6/22/2020,6/22/2020,5/29/2020,6/22/2020,6/22/2020,5/29/2020,0,0,11/15/2020,0,0,0,0,0,12/23/2020,0,1/22/2021,0,0,0,0,0,0,0,,,,DC-Reflects the date DC allowed religious gatherings greater than 10 people,DC- 5/29 reopen restaurants for outdoor dining only,DC- initial reopening limited to outdoor bars,,DC- 6/22 allow movie theaters to apply for a waiver to reopen with social distancing plan,"DC - 5/29 reopen retail (curbside pick up/delivery), barber shops/salons",,DC - Curfew mandating restaurants close at midnight and to stop serving alcohol after 10 p.m.
Florida,FL,12,3/17/2020,0,3/15/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/17/2020,0,0,0,5/18/2020,5/18/2020,0,5/18/2020,6/5/2020,5/11/2020,0,5/18/2020,6/5/2020,0,0,0,6/26/2020,6/26/2020,0,0,0,0,0,0,9/14/2020,0,0,0,0,0,0,,,,FL- no state action to close religious gatherings,FL-Most counties reopen 5/4/2020-Must operate at 20% capacity. 5/18 reopened for entire state at 50% capacity.,"FL- reopened in most parts of state 6/5, Miami and Broward counties reopened 6/8, but Palm Beach county remained closed
",,"FL- reopened movie theaters in most counties 6/5 (Broward, Miami-Dade, Palm Beach excluded from order); Miami-Dade reopened 6/8, Broward reopened 6/15","FL - 5/4 Some retail open in most counties, must operate at 25% capacity. Does not include entire state.5/18 reopened restaurants, retail, museums/libraries, gyms, amusement parks, professional sports venues, personal care for entire state",,
Georgia,GA,13,3/18/2020,0,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/24/2020,0,0,0,5/1/2020,4/27/2020,0,4/24/2020,4/27/2020,4/24/2020,0,4/23/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"GA-Must operate at reduced capacity, follow social distancing protocols",,,,"GA - Governor ordered non-essential businesses to operate at minimum basic operations, but did not order them to close; Allow gyms, fitness centers, bowling alleys, body art studios, barbers, cosmetologists, hair designers, nail care artists, estheticians, their respective schools, and massage therapists 4/24 4/27 theaters, private social clubs, and restaurant dine-in services reopen;",GA- All casinos in the state are on boats/cruises,
Hawaii,HI,15,3/16/2020,0,3/17/2020,3/25/2020,3/17/2020,3/25/2020,3/17/2020,3/17/2020,0,0,0,5/7/2020,6/5/2020,0,6/19/2020,6/19/2020,5/29/2020,5/18/2020,5/7/2020,6/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,HI- county by county approach; reopened restaurants between 6/1 and 6/5 ,"HI - Oahu reclosed non-essential businesses, but it was Mayor initiated/ordered, not state. HOWEVER, Gov. Ige ""approved"" and undersigned it (https://governor.hawaii.gov/newsroom/latest-news/governors-office-news-release-gov-ige-approves-mayor-caldwells-stay-at-home-order/). Consider this as an action taken by a local community, and therefore one that doesn't fit in the definition of begin to re-close bars, but a second opinion is welcome.",,,"HI - May 7 – 15: Reopened agriculture, auto dealerships, car washes, pet grooming services, observatories and support facilities, retail and repair services, and shopping malls; Governor is taking a county by county approach to reopening (counties must apply to reopen specific types of businesses); 6/1 personal care/salons open in every county; 6/5 restaurants reopened in every county",,
Idaho,ID,16,3/24/2020,0,0,3/25/2020,3/25/2020,3/25/2020,3/25/2020,3/25/2020,0,0,0,5/1/2020,5/16/2020,0,5/16/2020,5/30/2020,5/16/2020,5/1/2020,5/1/2020,5/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,"ID - Ada County closed bars as mandated by Central District Health. This is not a statewide agency, its authority is limited to certain counties",,,"ID - 5/1 Does not include entertainment venues, bars, restaurants, hair salons; 5/16 restaurants, gyms, hair salons reopen",,
Illinois,IL,17,3/17/2020,3/23/2020,0,3/21/2020,3/16/2020,3/21/2020,3/21/2020,3/16/2020,03/16/2020,0,0,5/29/2020,5/29/2020,1,5/29/2020,6/26/2020,5/29/2020,5/1/2020,5/29/2020,6/26/2020,5/29/2020,07/01/2020,0,11/20/2020,11/20/2020,11/20/2020,0,0,11/20/2020,11/20/2020,0,0,0,0,0,0,0,0,,IL - Day cares only remained open for children of essential workers,,,IL-5/28 reopen restaurants for outdoor dining only; 6/22 open for indoor dining,"IL - Chicago reclosed bars in July, but this was ordered by the Mayor, not the state",,,"IL - 5/29 reopen manufacturing, non-essential businesses, personal care, retail ",,
Indiana,IN,18,3/20/2020,0,0,3/25/2020,3/16/2020,3/25/2020,3/25/2020,3/16/2020,3/16/2020,0,0,5/18/2020,5/18/2020,0,6/1/2020,6/12/2020,5/18/2020,5/8/2020,5/18/2020,6/12/2020,0,6/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"IN-Reopen 5/4 for most counties, 5/18 reopen for all counties. Must be at 50% capacity",,"IN- all counties reopen 6/1, most counties reopened gyms 5/24",,IN - 5/4 retail/commercial businesses and manufacturing reopens in most counties. 5/18 retail/commercial business reopen for entire state,IN- no closing/opening mandate EO's but press releases confirmed these dates. ,
Iowa,IA,19,4/2/2020,0,0,3/26/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/16/2020,0,11/17/2020,5/15/2020,5/15/2020,0,5/15/2020,5/22/2020,5/15/2020,5/1/2020,5/15/2020,5/28/2020,0,06/01/2020,12/10/2020,8/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,IA - Governor recommended schools close 5/15; Ordered schools to close 4/2,,,IA-Opened in the majority of counties in 5/1 reopened at 50% capacity and social distancing requirements,,IA-Majority of counties reopen 5/1 with social distancing requirements; opened in all counties 5/15,,"IA - Order to close non-essential businesses only mentions retail/personal care businesses; Reopened restaurants, fitness centers, malls, libraries, race tracks, and other retail 5/1 in most counties, statewide 5/15",,"IA - Order restricting operating hours for bars and restaurants to 6 a.m.-10 p.m., aside from carry-out and drive-thru"
Kansas,KS,20,3/18/2020,0,0,3/30/2020,3/30/2020,3/30/2020,3/30/2020,3/30/2020,05/04/2020,1,0,5/4/2020,5/4/2020,0,5/18/2020,5/22/2020,5/18/2020,5/4/2020,5/4/2020,6/8/2020,0,05/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"KS - Statewide stay-at-home order went into effect 3/30/20 and closed all non-essential businesses; 5/4 Most businesses reopen except Bars, casinos, indoor leisure spaces, gyms, personal service; 5/18 gyms and personal service reopen",,
Kentucky,KY,21,3/17/2020,3/23/2020,0,3/26/2020,3/16/2020,3/18/2020,3/18/2020,3/16/2020,0,0,8/11/2020,5/11/2020,5/22/2020,0,6/1/2020,6/1/2020,5/25/2020,5/9/2020,5/20/2020,6/29/2020,6/8/2020,0,0,7/28/2020,7/28/2020,0,0,0,11/20/2020,0,0,8/11/2020,0,0,0,11/20/2020,0,0,,,,,,KY - Governor's order stops the sale of most alcohol in bars across the state but does not mandate the bar closes. Delivery and to go alcohol is permitted when sold alongside food. ,,,"KY - May 11 – Manufacturing, construction, vehicle and vessel dealerships, professional services (at 50% of pre-outbreak capacity), horse racing (without spectators), pet grooming and boarding May 20 – Retail, houses of worship; 5/25 personal care services",,
Louisiana,LA,22,3/16/2020,0,3/12/2020,3/23/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/17/2020,0,0,5/1/2020,5/1/2020,1,5/15/2020,5/15/2020,5/15/2020,5/15/2020,5/15/2020,6/5/2020,0,05/18/2020,0,7/13/2020,7/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"LA- UPDATED 5/22; 5/1 outdoor dining only with no table service, 5/15 opened indoor dining at 25% capacity",,,,"LA - 5/1 limited retail permitted to reopen with capacity restrictions; 5/15 reopen Restaurants, cafes, malls, Gyms, personal care, Movie theaters, Museums, zoos, aquariums, Bars and breweries with LDH food permits",,
Maine,ME,23,4/2/2020,0,0,3/25/2020,3/18/2020,3/25/2020,3/25/2020,3/18/2020,0,0,11/20/2020,5/1/2020,6/1/2020,1,6/17/2020,7/1/2020,6/17/2020,5/29/2020,6/1/2020,6/17/2020,0,0,2/1/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ME - Order to close schools came after schools had already voluntarily closed statewide,,,ME- restaurants in a few rural counties reopened 5/18; more counties open 6/1 (indoor dining delayed for 3 counties); 6/17 reopened indoor dining for entire state,"ME-by county, initial reopening limited to outdoor bars","ME- reopen in northern rural counties 6/12, reopened state-wide 6/17",,ME - Reopen personal care services (barber shops/hair salons) and outdoor recreation 5/1; rural counties reopened retail 5/18,,"ME - All outdoor and indoor: amusement venues, movie theaters, performing arts venues, casinos, and businesses that provide dine-in service (including social clubs, restaurants, bars and tasting rooms) must close by 9PM.  The order did not cease curbside pick-up and delivery services after 9PM. The order was initially through 12/6/2020, but was extended through 1/3/2021 on 12/4/2020 and consequently extended indefinitely on 12/30/2020. On 1/28/2021, the order was announced to expire on 2/1/2021."
Maryland,MD,24,3/16/2020,3/30/2020,4/5/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,0,11/20/2020,5/15/2020,5/29/2020,1,6/19/2020,9/1/2020,5/15/2020,5/15/2020,5/15/2020,6/12/2020,6/19/2020,6/19/2020,2/1/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MD- reopen indoor dining 6/12,,,,"MD - 5/15 reopen retail, manufacturing, some personal service; 6/5 most non-essential businesses reopened (did not include large venues/theaters, bars, gyms)",,"MD - Restaurants, bars, nightclubs, banquet and catering halls, and other similar establishments that sell and/or serve food or beverages for consumption on-premises must close for dine-in service from 10PM-6AM until 12:01AM on 2/1/2021. This order did not cease service for carryout, drive-through or delivery food services after 10PM. "
Massachusetts,MA,25,3/17/2020,3/23/2020,3/16/2020,3/24/2020,3/17/2020,3/24/2020,3/24/2020,3/17/2020,3/14/2020,0,11/6/2020,5/18/2020,6/8/2020,1,7/13/2020,7/13/2020,5/25/2020,5/18/2020,6/8/2020,0,6/8/2020,7/6/2020,1/25/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MA- reopen outdoor dining 6/8; reopen indoor dining 6/22 ,,MA - Reopen gyms 7/6 for most of state but excluded Boston,MA-reopen theaters 7/6 for most of state but excluded boston,"MA - 5/18 just applies to manufacturing and construction; 6/8 retail, childcare/camps, restaurants, warehouses, personal services without close physical contact","MA- 3/14 Massachusetts Gaming Commission voted unanimously to temporarily suspend operation at the state’s three casino properties, including Encore Boston Harbor, MGM Springfield and Plainridge Park Casino. 3/24 EO also included language suspending operations for Casino's in MA. ","MA - Accompanied by the stay-at-home advisory, dine-in restaurants; arcades and other indoor and outdoor recreation; indoor and outdoor events; indoor and outdoor theaters, movie theaters, and performance venues; youth and adult amateur sports activities; golf facilities; recreational boating  businesses; outdoor recreational experiences and educational activities; casinos, horse racing tracks, and simulcast facilities; driving and flight schools; zoos, botanical gardens, wildlife reserves, and nature centers; close contact personal services; fitness centers and health clubs; indoor and outdoor pools (public and semi-public swimming pools); and museums/cultural & historical facilities/guided tours must have last call services at 9:30 PM and close completely from 10PM-5AM until 5AM on 1/25/2021. This order did not cease service for take-out or delivery food services after 10PM. "
Michigan,MI,26,3/16/2020,3/24/2020,3/14/2020,3/24/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,0,2/1/2021,5/26/2020,6/8/2020,0,9/9/2020,10/9/2020,6/15/2020,0,6/4/2020,6/8/2020,6/8/2020,08/05/2020,0,7/1/2020,7/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"MI - Dining reopened 6/8 outdoor in some regions(or straight to indoor for some regions); 5/18 allow restaurants in some parts of the state to reopen, not a statewide order; 7/31 EO closed indoor seating in bars throughout the state but excluded regions 6 and 8. Resturants that get 70% or more of their profits from alcohol sales based on 2019 recipts are considered bars","MI - 7/1 governor closed bars in most but not all of the state via executive order, indoor service only. Outdoor service still permitted. 7/28 governor expanded this closure. 9/3 states that bars must close for indoor service but that both bars and restaurants are permitted to serve customers outdoors with social distancing restrictions in place",MI - Reopen gyms in northern Michigan 6/12; 7/31 EO closed gyms throughout the state but excluded regions 6 and 8,MI - 7/31 EO closed entertainment venues throughout the state but excluded regions 6 and 8,MI - 5/18 allow retail and restaurants to reopen in some regions of the state; does not apply to entire state; 5/26 reopen some retail and car dealerships; 6/4 reopen retail for entire state,,"MI - Food service establishments, or the food service establishment portion of a multi-purpose venue, must cease indoor dining between 10:00 PM and 4:00 AM until 3/29/2021."
Minnesota,MN,27,3/18/2020,0,0,3/28/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,0,0,11/13/2020,4/27/2020,6/1/2020,1,6/10/2020,6/10/2020,6/1/2020,5/18/2020,5/18/2020,6/10/2020,0,0,0,11/21/2020,11/21/2020,11/21/2020,11/21/2020,0,11/21/2020,0,0,0,0,0,0,0,0,0,,,MN - 3/16 EO allowed veterans homes to implement CMS guidelines from 3/13; no formal EOs regarding closure of nursing homes outside of this category,,MN-6/1 reopen restaurants for outdoor dining only,,,,"MN - 4/27 allowed employees in certain agricultural, industrial and office settings to return to work; 5/18 open retail ",,"MN - Restaurants, food courts, cafes, coffeehouses, bars, taverns, brewer taprooms, micro distiller cocktail rooms, farm wineries, craft wineries, cideries, golf courses and clubs, dining clubs, tobacco product shops, and other Places of Public Accommodation offering food, beverages (including alcoholic beverages), or tobacco products for on-premises consumption must close dine-in service from 11PM-4AM. This order did not cease service for take-out, window service, walk-up service, drive-up, or delivery food services after 11PM.  "
