State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of tribal casinos,Closed businesses overnight,Began to reopen businesses statewide,Reopened restaurants,Initially reopened restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopened religious gatherings,Reopened other non-essential retail,Reopened bars,Reopened child care,Reopened casinos,Allowed businesses to reopen overnight,Began to re-close bars,Closed bars x2,Closed movie theaters x2,Closed gyms x2,Closed hair salons/barber shops x2,Closed restaurants x2,Closed casinos x2,Reopened restaurants x2,Reopened bars x2,Reopened gyms x2,Reopened movie theaters x2,Reopened casinos x2,Closed bars x3,Closed restaurants x3,Reopened restaurants x3,,School & day care notes,Nursing home notes,Religious gathering notes,Restaurant notes,Bar notes,Gym notes,Movie theater notes,Business notes,Casino notes,Overnight closure notes
Mississippi,MS,28,3/20/2020,0,3/24/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,03/16/2020,0,5/7/2020,4/27/2020,5/7/2020,0,5/11/2020,6/1/2020,5/11/2020,0,4/27/2020,6/1/2020,0,05/21/2020,6/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"MS - 10 people or less allowed at bars; MS - 4/27 retail and most non-customer facing businesses with capacity restrictions; 5/7 reopen restaurants; 5/8 personal care, gyms, 5/15 reopen tattoo parlors, dance studios",,MS - Restaurants that serve alcohol and bars must close all service at 10PM
Missouri,MO,29,3/23/2020,0,3/23/2020,4/3/2020,3/23/2020,4/3/2020,4/3/2020,3/23/2020,03/17/2020,0,0,5/4/2020,5/4/2020,0,5/4/2020,0,5/4/2020,5/27/2020,5/4/2020,5/4/2020,0,06/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MO - Order to close schools came after most schools had already closed,,,,,,,MO - 5/4 retail and restaurants with restrictions,,MO - All curfews on county or city level
Montana,MT,30,3/16/2020,0,3/15/2020,3/28/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,03/20/2020,0,11/20/2020,4/27/2020,5/4/2020,0,5/15/2020,5/15/2020,4/27/2020,4/26/2020,4/27/2020,5/4/2020,0,05/04/2020,1/15/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"MT - 4/27 retail, places of worship (4/26); 5/4 restaurants and bars; 5/15 gyms, museums, movie theaters  ",,"MT - Restaurants, bars, breweries, distilleries and casinos must close from 10PM-4AM."
Nebraska,NE,31,4/3/2020,0,0,4/9/2020,4/3/2020,4/3/2020,4/9/2020,4/3/2020,0,0,0,6/1/2020,6/1/2020,0,0,6/22/2020,6/1/2020,5/4/2020,0,6/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NE - Schools closed in some counties 3/23; order to close schools extended to all counties 4/3,,NE- never closed non-essential retail,NE-reopened 5/4 in some counties; statewide reopening was 5/18,"NE- some counties reopened much earlier, date listed reflects when bars in all counties were reopened",NE-4/3 order set rules for how gyms could remain open but never closed them ,NE- reopened theaters 6/1 in most counties (4 excluded),"NE - Non-essential retail was not ordered to be closed but personal care services like nail salons and hairdressers were; 4/3 order set rules for how gyms could remain open (but never closed gyms) and capped gatherings in indoor theaters at 10 persons; 5/4 some counties opened restaurants, personal care. 5/18 all counties permitted to reopen restaurants and personal care",,
Nevada,NV,32,3/16/2020,0,0,3/21/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,03/17/2020,0,0,5/9/2020,5/9/2020,0,5/29/2020,5/29/2020,5/9/2020,5/29/2020,5/9/2020,5/29/2020,0,06/04/2020,0,7/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NV - Governor reclosed bars in Washoe and Clark counties,,,"NV - 5/9 Retail, personal care, restaurants/bars/breweries that serve food, cannabis dispensaries; 5/17 charter fishing services and for-hire vessel activities reopen; 5/22 outdoor activities at recreational businesses (batting cages, golf courses, shooting ranges, tennis clubs etc) ",,
New Hampshire,NH,33,3/16/2020,0,3/16/2020,3/28/2020,3/16/2020,3/28/2020,3/28/2020,3/16/2020,0,0,0,5/11/2020,5/18/2020,0,6/1/2020,6/29/2020,5/11/2020,5/29/2020,5/11/2020,6/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NH- 5/18 limited to outdoor dining,,,,"NH - 5/11 retail, barber shops, hair salons, golf courses; 5/18 outdoor dining at restaurants",,
New Jersey,NJ,34,3/18/2020,3/18/2020,6/19/2020,3/21/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,0,11/10/2020,5/18/2020,6/15/2020,1,9/1/2020,9/4/2020,6/22/2020,6/9/2020,6/15/2020,6/15/2020,6/15/2020,06/26/2020,2/5/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NJ-initial reopening limited to outdoor bars,,,"NJ - Bars not technically closed, but most in person alcohol sales prohibited; 5/18 allow construction and retail for curbside pickup",,"NJ - Restaurants, cafeterias, dining establishments, and food courts (with or without a liquor license), bars, casinos and liquor license holders must close their indoor dining service from 10PM-5AM. This order did not cease services for outdoor dining, food delivery or take-out services after 10PM. "
New Mexico,NM,35,3/16/2020,0,3/13/2020,3/24/2020,3/20/2020,3/19/2020,3/19/2020,3/19/2020,03/16/2020,1,10/16/2020,5/16/2020,5/27/2020,1,6/1/2020,0,6/1/2020,5/16/2020,5/16/2020,0,0,0,11/13/2020,0,0,0,11/16/2020,11/16/2020,7/13/2020,0,8/29/2020,0,0,0,0,0,11/16/2020,12/2/2020,,,,,NM - Most of state reopen outdoor dining 5/27 (hot spot counties not included in order); 6/1 permit indoor dining for entire state; 7/13 order only restricted indoor dining; 8/29 order allowed indoor dining with limits,,,,"NM - 5/1 pet/vet services, gun stores golf courses open reopened in most counties (3 hotspot counties not included); 5/16 pet/vet services, gun stores golf courses open for entire state. 5/16 all retail/non-essential businesses reopen but not in 3 hotspot counties; 6/1 ALL counties-indoor dining, gyms, personal care. Previous openings that did not apply to hot spot counties now permitted in hot spot counties as well. ",NM- order excludes casinos on tribal land. ,"NM - All food and drink establishments serving alcohol (by initial order) and retail establishments (by amended public health order on 10/23/2020) must close dine-in services from 10PM-4AM. On 11/13/2020, the public health order was amended to: extend the curfew on retail establishments (definition amended in public health order on 11/18/2020) until 11/30/2020 and cease all service within food and drink establishments with the exception delivery service."
New York,NY,36,3/18/2020,0,3/13/2020,3/22/2020,3/17/2020,3/16/2020,3/16/2020,3/16/2020,03/16/2020,1,11/13/2020,6/8/2020,6/22/2020,1,0,0,6/22/2020,6/22/2020,6/8/2020,0,0,9/9/2020,3/16/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"NY - 5/15 entire state reopened landscaping/gardening, some parts of state reopened construction, agriculture, forestry, fishing, hunting, and other businesses (depending on region) ",,"NY - Bars, restaurants, gyms and fitness centers, casinos, billiard halls, and other State Liquor Authority-licensed establishments are required to close dine-in services from 10PM-5AM. This order did not cease service for delivery and curbside pickup after 10PM. The order was amended on 2/16/2020 stating the aforementioned establishments can extend closing time from 10PM to 11PM."
North Carolina,NC,37,3/16/2020,0,3/25/2020,3/30/2020,3/18/2020,3/25/2020,3/25/2020,3/17/2020,0,0,12/11/2020,5/8/2020,5/22/2020,0,9/4/2020,0,5/22/2020,5/16/2020,5/8/2020,0,0,0,2/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NC-ordered to reopen via federal judicial order,,NC- governor issued an order banning the sale of alcohol between the hours of 11pm and 7AM on 7/28/2020.,,,"NC - 5/8 retail; 5/22 restaurants, personal care, tattoo parlors, pools, childcare facilities","NC- Tribal Casinos only. Chose to close March 18th. No state orders enforcing this decision though the 3/25/2020 EO including closing of gaming venues, it did not apply to tribal governemnts. ","NC - Restaurants, bars, entertainment venues, personal care businesses, personal events outside the home, live entertainment, amateur sporting events movies, and more (outlined in EO181) must end/close from 10PM-5AM. This order did not cease in-house delivery, third-party delivery, drive-through, curbside pick-up, and carry-out after 10PM. Individuals must remain at home from 10PM-5AM, except if they must travel to and from work, obtain food, medical care, fuel or social services, or take care of a family member. The initial order was through 1/8/2021, but was extended to 1/29/2021 and subsequently 2/28/2021."
North Dakota,ND,38,3/16/2020,0,4/6/2020,3/20/2020,3/21/2020,3/20/2020,3/20/2020,3/20/2020,0,0,11/16/2020,5/1/2020,5/1/2020,0,5/1/2020,5/1/2020,5/1/2020,0,5/1/2020,5/1/2020,0,0,12/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ND-no state action to close religious gatherings,,,,,"ND - Started closing non-essential businesses statewide on 3/20 but did not release EO until 3/27, which listed the dates of all closures that had happened until that point; Most businesses reopened 5/1",,"ND - Bars, restaurants and food service establishments must close dine-in service from 10PM-4AM. This order did not cease services for take-out, curbside or delivery services after 10PM.  Initially, the order was through 12/13/2020 but was amended and extended through 1/8/2021. However, the order was amended and ended the curfew early on 12/22/2020."
Ohio,OH,39,3/17/2020,3/26/2020,3/11/2020,3/24/2020,3/16/2020,3/17/2020,3/17/2020,3/15/2020,0,0,11/19/2020,5/4/2020,5/15/2020,1,5/22/2020,6/10/2020,5/15/2020,0,5/12/2020,5/15/2020,5/31/2020,0,2/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OH-no state action to close religious gatherings,OH- outdoor seating only,OH - Initial reopening limited to outdoor bars; reopened indoor bars 5/21/2020; 07/31/2020 issues a curfew for alcohol sales. ,OH- judge ruled that gyms could not be penalized for reopening on 5/20,,"OH - Manufacturing, distribution, construction, and general office environments 5/12- consumer, retail and services opened 5/15 personal care/tattoo parlors reopen","OH- Governor/State Casino Control Commission told casinos they had to comply with no ""mass gathering rules,"" not that they had to shut down, but casinos chose to shut down from March until June on their own.","OH - All individuals are ordered to stay at a place of residence from 10PM-5AM, with the execption of purposes relating to religious observances, health and safety, necessary supplies and services, necessary social services, work, care of others and government services. Most retail business must close and dine-in services within restaurants and bars must close at 10PM. This order did not cease services for drive through, food delivery or take-out services after 10PM. The order was initially through 12/10/20 but was extended four times through 1/2/21, 1/23/21, 1/30/21 and 2/11/21. The amended order on 1/27/21 extended the curfew from 11PM-5AM."
Oklahoma,OK,40,3/17/2020,0,3/24/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,0,0,11/19/2020,4/24/2020,5/1/2020,0,5/1/2020,5/1/2020,4/24/2020,5/1/2020,4/24/2020,5/15/2020,0,0,1/14/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"OK - 4/24 personal care, pet groomers; 5/1 dining, entertainment, movie theaters, gyms, tattoo parlors",,"OK - Bars and restaurants must close dine-in services from 11PM-5AM. This order did not cease services for in-house delivery, third-party delivery, drive-through, curbside pick-up, and carry-out services after 11PM."
Oregon,OR,41,3/16/2020,3/25/2020,3/16/2020,3/23/2020,3/18/2020,3/24/2020,3/24/2020,3/17/2020,0,0,0,5/15/2020,6/19/2020,0,6/19/2020,0,6/19/2020,5/15/2020,5/15/2020,6/19/2020,5/16/2020,0,0,11/18/2020,11/18/2020,0,11/18/2020,0,11/18/2020,0,0,0,0,0,0,0,0,0,,,,,,"OR - County by county approach, date listed reflects earliest date when bars were open in all counties",,,"OR - Closed non-essential retail 3/24/2020, but did not mandate non-retail closures; 5/15 excludes a number of businesses that involve close contact (salons, barber shops, theaters, amusement parks, gyms, restaurants/bars, museums)","OR- 3/24/2020 order closed ""non-tribal card rooms"" ",
Pennsylvania,PA,42,3/16/2020,3/17/2020,3/17/2020,3/21/2020,3/18/2020,3/21/2020,3/21/2020,3/18/2020,3/17/2020,0,0,6/5/2020,6/5/2020,1,7/3/2020,7/3/2020,7/3/2020,0,6/5/2020,6/5/2020,6/5/2020,6/9/2020,0,7/16/2020,7/16/2020,12/12/2020,12/12/2020,0,12/12/2020,12/12/2020,1/4/2021,0,1/4/2021,1/4/2021,1/4/2021,0,0,0,,,,PA- no statewide order to close,PA-entire state reopened for indoor dining 7/2,PA - Initial reopening limited to outdoor bars,,,PA - Bar closures began in some counties on 3/16; 5/8 some counties open retail; 5/22 more counties open retail,PA- The PA gaming control board closed all casinos in the state on 3/17/2020 ahead of the EO closing non-essential buisnesses in the state.,
Rhode Island,RI,44,0,3/16/2020,3/13/2020,3/30/2020,3/18/2020,3/23/2020,3/23/2020,3/17/2020,03/22/2020,0,11/8/2020,5/9/2020,5/18/2020,1,6/1/2020,6/30/2020,6/1/2020,5/30/2020,5/9/2020,6/1/2020,6/1/2020,6/8/2020,1/29/2021,11/30/2020,0,11/30/2020,11/30/2020,0,0,11/30/2020,0,0,12/21/2020,12/21/2020,12/21/2020,0,0,0,,RI - Order to close schools came after schools had already closed statewide,,,RI- 5/18 open only for outdoor seating; 6/1 allow indoor dining,RI - 8/5/2020 Gov issued order closing bars and ending alcohol sales at 11PM. RI restricted indoor ding and bar capacity to 30% on 11/30/2020; Outdoor dining also has new rules. No bars or resturants have been fully closed though some are choosing to do so. New curfew is 10PM Sunday-Thursday and 10:30PM Friday and Saturday. ,,,"RI - Order to close non-essential businesses only applied to retail closures; RI-5/9-Non-essential retail reopen with capacity restrictions; 6/1 in person retail, personal service, restaurants, gyms",,"RI - Bars, restaurants, gyms, recreational facilities and personal services must close at 10PM on weekdays and at 10:30PM on Friday and Saturday. This order did not cease pick-up, delivery and drive through services after 10PM and 10:30PM. The order was initially through 11/22/2020, but was extended 5 times and amended to end early on 1/29/2021. Stay at home advisory from 10PM-5AM, but this is not mandated."
South Carolina,SC,45,3/16/2020,0,3/15/2020,4/1/2020,3/19/2020,4/1/2020,4/1/2020,3/18/2020,4/1/2020,0,0,4/20/2020,5/4/2020,1,5/18/2020,8/3/2020,5/18/2020,0,4/20/2020,5/4/2020,0,5/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SC- no statewide order to close,SC-5/4 only outdoor seating; 5/11 dine in permitted,"SC - Initial reopening limited to outdoor bars, reopened indoor bars 5/11; 7/10 governor mandated that bars/restaurants cannot sell alcohol past 11pm, but did not close bars",,,"SC - Order to close non-essential businesses mostly applied to retail, entertainment venues & athletic facilities; SC-4/20 Only applies to some retail, must operate at 20%; 5/4 outdoor dining; 5/11 restaurants (dine in); 5/18 personal care, gyms, pools; 5/22 attraction facilities (zoos, museums, amusement parks etc.)",SC- All casinos in the state are on boats/cruises,
South Dakota,SD,46,3/16/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SD-no statewide order to close,,SD-no state action to initially close bars,,,"SD - EO states that non-essential businesses ""should"" be open only to maximum of 10 people but does not specify enforcement of this; Never closed non-essential retail",SD- No buisness was ever required to close in SD. ,
Tennessee,TN,47,3/20/2020,0,3/23/2020,4/1/2020,3/24/2020,3/23/2020,3/23/2020,3/23/2020,0,0,0,4/27/2020,4/27/2020,0,5/1/2020,5/22/2020,5/6/2020,0,4/27/2020,5/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"TN - Schools recommended to close by governor, but all school districts complied",,TN-no statewide order to close,TN-reopen 4/27/2020 in 89/91 counties,,TN-Reopen for most counties 5/1/2020,,"TN - Allowed some counties to dictate their own reopening. In most counties, restaurants reopen 4/27, retail opened 4/29, gyms reopen 5/1, personal care 5/6",,TN - All curfews on county or city level
Texas,TX,48,3/21/2020,0,3/21/2020,4/2/2020,3/21/2020,3/21/2020,4/2/2020,3/21/2020,0,0,0,5/1/2020,5/1/2020,0,5/18/2020,5/1/2020,5/8/2020,0,5/1/2020,5/29/2020,0,0,0,6/26/2020,6/26/2020,0,0,0,0,0,0,10/14/2020,0,0,0,0,0,0,,,,TX-no statewide order to close,TX-must operate at 25% capacity,,,,"TX - 5/1 reopened retail, restaurants, movie theaters, museums, libraries, malls; 5/8 personal care, pools; 5/18 offices, manufacturing, gyms  ",,TX - All curfews on county or city level
Utah,UT,49,3/16/2020,0,0,3/27/2020,3/20/2020,3/27/2020,3/27/2020,3/19/2020,0,0,0,5/1/20,5/1/2020,0,5/1/2020,5/1/2020,5/1/2020,5/6/2020,5/1/2020,5/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,UT - State issued a health order for nursing homes to follow guidance from CMS on 3/19; 4/1 order suggested limiting visits to nursing homes and long term facilities,,,,,,"UT - 3/27 order never explicitly closed gyms and theaters but did say 'do not travel to...'; UT later issued orders explicitly opening these businesses; UT-5/1 dine in service, gyms, personal service, retail; Never closed non-essential retail",,
Vermont,VT,50,3/18/2020,3/18/2020,3/13/2020,3/25/2020,3/18/2020,3/23/2020,3/25/2020,3/17/2020,0,0,11/14/2020,4/27/2020,5/22/2020,1,6/1/2020,6/1/2020,5/29/2020,5/23/2020,4/27/2020,5/22/2020,6/1/2020,0,4/15/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VT- 5/22 reopen for outdoor seating only,,,,VT - 4/27 Manufacturing and distribution operations; outdoor business and retail; farmers markets open; 5/18 retail,,"VT - Restaurants (1st class licensees) must close dine-in services at 10PM. This order did not cease services for curbside pick-up, drive-through, or delivery services after 10PM. The order was initially through 12/15/2020, but was extended four times through 4/15/2021. "
Virginia,VA,51,3/16/2020,0,0,3/25/2020,3/26/2020,3/25/2020,3/25/2020,3/25/2020,0,0,12/14/2020,5/29/2020,5/29/2020,1,6/12/2020,7/1/2020,5/29/2020,5/29/2020,5/29/2020,5/29/2020,0,0,2/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,VA- only outdoor seating allowed for most of state 5/15. Some counties in northern Virginia remained closed. Indoor dining allowed for most of state 6/5 (northern virginia only allowed to open for outdoor dining),,VA - Reopened in most of the state 6/5 (order did not apply to counties in Northern Virginia); 7/31/2020 EO banning sale of alcohol after 10PM,,"VA - 5/15 most of state (apart from northern virginia) reopen restaurants, breweries, food courts, farmers markets, retail, personal care. Northern Virginia delayed until 5/29; 5/29 reopen personal care, restaurant (for outdoor seating), retail open for the entire state",,"VA - Dining establishments, food courts, breweries, microbreweries, distilleries, wineries, and tasting rooms must close dine-in services from 12AM-5AM.  This order does not cease delivery or take-out services after 12AM. The order was initially through 1/31/2021, but was extended through 2/28/2021 expiring at 11:59PM."
Washington,WA,53,3/17/2020,0,3/16/2020,3/25/2020,3/16/2020,3/16/2020,3/16/2020,3/17/2020,0,0,0,6/1/2020,7/3/2020,0,8/27/2020,0,7/3/2020,6/1/2020,7/3/2020,7/3/2020,0,0,0,0,11/18/2020,0,11/16/2020,0,11/18/2020,0,0,0,0,0,0,0,0,0,,,,,,,,,"WA - 5/5 reopen landscaping, vehicle sales, pet walking, car washes; 5/21 some counties permitted to move to phase 2 (real estate, personal care, restaurants)",,
West Virginia,WV,54,3/16/2020,3/26/2020,8/13/2020,3/24/2020,3/19/2020,3/19/2020,3/24/2020,3/18/2020,03/18/2020,0,0,5/4/2020,5/4/2020,1,5/18/2020,6/5/2020,5/4/2020,0,5/21/2020,5/26/2020,4/30/2020,06/05/2020,0,7/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,WV-no statewide order to close,WV-5/4 only outdoor seating allowed; 5/21 indoor seating permitted,,WV - 7/14 governor order bars to close in Monongalia County for ten days,,"WV - 5/4 small businesses, restaurants (outdoor dining), religious entities, personal care; 5/18 gyms; 5/21 restaurants (indoor dining), large retail stores, indoor malls",,
Wisconsin,WI,55,3/18/2020,0,0,3/25/2020,3/18/2020,3/25/2020,3/25/2020,3/17/2020,0,0,0,5/11/2020,5/13/2020,0,5/13/2020,5/13/2020,5/13/2020,5/13/2020,5/11/2020,5/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,WI-reopened when WI supreme court struck down stay at home order,WI - Order overturned by state supreme court,,WI - Non-essential business closure overturned by state supreme court,WI - Non-essential business closures overturned by state supreme court; hair salons/barber shops reopened when supreme court struck down stay at home order,WI - Most retail reopened 5/11 with restrictions. Stay at home order with non-essential business closures overturned by state supreme court 5/13,,WI - All curfews on county or city level.
Wyoming,WY,56,3/19/2020,3/19/2020,0,3/19/2020,3/19/2020,3/19/2020,3/19/2020,3/19/2020,0,0,12/9/2020,5/1/2020,5/15/2020,0,5/1/2020,5/15/2020,5/1/2020,5/15/2020,0,5/15/2020,5/1/2020,0,1/8/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"WY-County variances allowed religious gatherings in some places earlier, but June 15 is when the order took effect at the state level",,,,,"WY - 5/1 open gyms, personal care service; 5/15 movie theaters, restaurants; Never closed non-essential retail",,WY - Bars and resturants must close dine-in services from 10PM-5AM. This order did not cease take-out or delivery services after 10PM. 
Total,,,50,15,31,50,50,50,50,50,23,5,25,50,50,18,47,43,50,37,48,44,15,21,21,16,12,5,7,1,9,3,3,3,2,2,2,1,1,1,,,,,,,,,,,