Variable Name,Variable Label,Description,Category,Type,Unit,Values/Value Range,Value Labels,Notes
ELECPRCR,Suspended elective medical procedures,The date a state suspended elective medical or dental procedures statewide. Did not include guidance or recommendations. Order must apply to entire state.,healthcare_delivery,start,date,0: policy not implemented;,,
ENDELECP,Resumed elective medical procedures,"The date a state resumed elective medical or dental procedures statewide. If states never suspended elective medical or dental procedures, they will be marked as 0",healthcare_delivery,end,date,0: policy not implemented;,,
ELECPRCR2,Suspended elective medical procedures x2,The date a state suspended elective medical or dental procedures statewide for the second time. Did not include guidance or recommendations. Order must apply to entire state.,healthcare_delivery,start,date,0: policy not implemented;,,
ENDELECP2,Resumed elective medical procedures x2,"The date a state resumed elective medical or dental procedures statewide for a second time. If states never suspended elective medical or dental procedures for a second time, they will be marked as 0",healthcare_delivery,end,date,0: policy not implemented;,,
ELECNOSTART,No order to suspend elective medical procedures but did release guidance or orders to resume,The date states released guidance or an order to resume elective surgeries but the state never mandated that these procedures halt.,healthcare_delivery,end,date,0: does not apply,,"Some of these states had suggestions to halt elective procedures and later released guidelines to reopen. One, GA, explicitly ordered that medical providers open."
WTPRD,No state unemployment waiting period prior to pandemic; or date waiting period waived not found,"Prior to the pandemic, whether a state did not have a mandatory waiting period until they could receive unemployment insurance benefits, OR whether we could not find whether a state did/did not have a mandatory waiting period",unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",
WV_WTPRD,Waived one week waiting period for unemployment insurance,The date a state waived the one week waiting period for unemployment insurance benefits. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,start,date,0: policy not implemented; 1: Could not locate the date the policy started but did locate evidence that the policy was in place.,,Date the waiting period waived in Delaware was not found
REI_WTPRD,Reinstated one week waiting period for unemployment insurance,The date a state reinstated the one week waiting period for unemployment insurance benefits. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,end,date,0: policy not implemented; 1: Could not locate the date the policy started but did locate evidence that the policy was in place.,,"Dates the waiting period reinstated in Indiana, Nebraska, and South Dakota were not found"
WV_WKSR,Waive work search requirement for unemployment insurance,If a state waived the work search requirement for unemployment insurance benefits at some point during the pandemic. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",
REI_WKSR,Reinstated work search requirement for unemployment insurance,If a state reinstated the work search requirement for unemployment benefits at some point during the pandemic. Did not include guidance or recommendations. Order must apply to the entire state.,unemployment,attribute,flag,2,0 = never waived work search requirement; 1 = work search requirement remains waived; 2 = reinstated work search requirement,
UIQUAR,Expand eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined,If a state expanded eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined during the pandemic. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIHIRISK,Expand eligibility to high-risk individuals in preventative quarantine,If a state explicitly defines individuals at high risk of COVID-19 who are undergoing preventive quarantine during the pandemic to be eligible for unemployment insurance. Did not include guidance or recommendations. Order must apply to entire state,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UICLDCR,Expand eligibility of unemployment insurance to those who have lost childcare/school closures,If a state expanded eligibility of unemployment insurance to those who have lost childcare during the pandemic in response to daycare/school closures. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIEXTND,Extend the amount of time an individual can be on unemployment insurance,If a state extended the amount of time an individual can be on unemployment insurance. Did not include guidance or recommendations. Order must apply to entire state.,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIMAXAMT,Weekly unemployment insurance maximum amount (dollars),The weekly unemployment insurance maximum amount a state will provide,unemployment,attribute,flag,"1,0","1=""YES"",0=""NO""",
UIMAXEXT,"Weekly unemployment insurance maximum amount with extra stimulus (through July 21, 2020) (dollars)","The weekly unemployment insurance maximum amount a state will provided with extra stimulus through the CARES Act (through July 21, 2020)",unemployment,quantity,dollars,valid range: 190-823,,Note that the additional $600 is paid retroactively. Payments are effective starting with the week ending 4/5/20. The $600 only applies to those who are receiving unemployment benefits.
UIMAXDUR,Unemployment insurance maximum duration (weeks),The maximum amount of time an individual can receive unemployment insurance (before the pandemic),unemployment,quantity,dollars,valid range: 790-1423,,
UIMAXCAR,Unemployment insurance maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),The maximum amount of time an individual can receive unemployment insurance with the Pandemic Emergency Unemployment Compensation CARES extension (weeks),unemployment,quantity,weeks,valid range: 12-28,,
EBSTART,Extended Benefits program activated,"The date of issue of Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have activated. If a state never activated EB, it will be marked as 0.",unemployment,start,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
EBEND,Extended Benefits program deactivated,"The date of issue of Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated. If a state never activated EB or activated EB but has yet to deactivate EB, it will be marked as 0.",unemployment,end,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
TUR,Total Unemployment Rate at Extended Benefits program shutoff,The total unemployment rate (TUR) reported by the Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated,unemployment,quantity,total unemployed population / total labor force,"valid range: 3.5, 8.7",,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
TURPRIOR,Total Unemployment Rate relative to prior year (%),The total unemployment rate (TUR) reported by the Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated as a percent relative to TUR in the prior year,unemployment,quantity,percent,"valid range: 125, 290",,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
TURPRIOR2,Total Unemployment Rate relative to second prior year (%),The total unemployment rate (TUR) reported by the Department of Labor Trigger Notice that first showed the state's Extended Benefits (EB) program to have deactivated as a percent relative to TUR in the prior year as a percent relative to TUR two years prior,unemployment,quantity,percent,"valid range: 139, 256",,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
20EBSTART,20-week Extended Benefits program activated,"The date of issue of Department of Labor Trigger Notice that first showed the state's 20-week Extended Benefits (EB) program to have activated. If a state never activated 20-week EB, it will be marked as 0.",unemployment,start,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
20EBEND,20-week Extended Benefits program deactivated,"The date of issue of Department of Labor Trigger Notice that first showed the state's 20-week Extended Benefits (EB) program to have deactivated. If a state never activated 20-week EB or activated 20-week EB but has yet to deactivate 20-week EB, it will be marked as 0.",unemployment,end,date,0: policy not implemented;,,Information reflects raw data collected directly from each Trigger Notice. No adjustments for time delays have been made.
UIMINBP,Minimum total earnings required in the base period to qualify for UI.,Minimum total earnings required in the base period to qualify for UI.,unemployment,quantity,dollars,"valid range: 130-7020, *Hours worked, not income",,*WA - Requires 680 hours of work. Earnings not specified. Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIQTRNEED,Number of calendar quarters with earnings in the base period needed to qualify for UI.,Number of calendar quarters with earnings in the base period needed to qualify for UI.,unemployment,quantity,Calendar Quarters,"2,1",,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIOUTHQBP,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI.,Minimum total earnings required outside the highest earning calendar quarter of the base period to qualify for UI.,unemployment,quantity,dollars,valid range: 0-2340,,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIREQBPL2Q,Require earnings in the last two calendar quarters of the base period in order to qualify for UI.,Require earnings in the last two calendar quarters of the base period in order to qualify for UI.,unemployment,attribute,flag,"1: yes, 0: no",,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIBPEARN300,Earnings in base period required to receive a $300 weekly benefit amount for UI.,Earnings in base period required to receive a $300 weekly benefit amount for UI.,unemployment,quantity,dollars,"valid range: 6900-33191.49, ""Max Benefit < $300"": State does not offer a maximum benefit reaching $300",,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UITAXWA,Taxable Wage Amount,Highest taxable wage amount going to funding the state UI program.,unemployment,quantity,dollars,valid range: 7000-52700,,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
UIMINTAXR,Minimum Tax Rate (%),Minimum tax rate on earnings going to funding the state UI program.,unemployment,quantity,percent,valid range: 0-1.60,,"""Rates apply only to experience rated employers and do not include surtaxes, penalties, surcharges, or applicable non UI taxes."" - Department of Labor. Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance"
UIMAXTAXR,Maximum Tax Rate (%),Maximum tax rate on earnings going to funding the state UI program.,unemployment,quantity,percent,valid range: 5.40-14.37,,"""Rates apply only to experience rated employers and do not include surtaxes, penalties, surcharges, or applicable non UI taxes."" - Department of Labor Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance"
UIAVGBFTAUG,Average Benefit Amount (August),Average UI benefit received by recipients in August.,unemployment,quantity,dollars,valid range: 180.86-463.06,,Does not include eligibility for Pandemic Unemployment Assistance (PUA)- only applies to state unemployment insurance
LMABRN,Made Effort to Limit Abortion Access,If a state made an effort through orders or legislation during the pandemic to limit or restrict access to abortion. Order did not need to go into effect to be recorded here.,healthcare_delivery,quantity,weeks,valid range: 25-41,,Under the Pandemic Emergency Unemployment Compensation (PEUC) state-level unemployment insurance will be extended by an additional 13 weeks thanks to federal funding under the CARE stimulus bill
TLHlBUPR,Use of telemedicine/telephone evaluations to initiate buprenorphine prescribing,The date a state allowed the use of telemedicine/telephone evaluations to initiate buprenorphine prescribing.,SUD_policies,start,date,0: policy not implemented;,"1=""YES"",0=""NO""",
EXTOPFL,Patients can receive 14-28 take-home doses of opioid medication,The date a state allowed patients to receive 14-28 take-home doses of opioid medication,SUD_policies,start,date,0: policy not implemented;,,
HMDLVOP,Home delivery of take-home medication by opioid treatment programs,The date a state allowed home delivery of take-home medication by opioid treatment programs,SUD_policies,start,date,0: policy not implemented;,,
TLHLCL24,Use of telemedicine for schedule II-V prescriptions,The date a state allowed telemedicine for schedule II-V prescriptions,SUD_policies,start,date,0: policy not implemented;,,
EXCEMORP,Exceptions to emergency oral prescriptions,The date a state allowed exceptions to emergency oral prescriptions,SUD_policies,start,date,0: policy not implemented;,,
WVDEAREQ,Waive requirement to obtain separate DEA registration to dispense outside home state,The date a state waived the requirement to obtain separate DEA registration to dispense outside of the home state,SUD_policies,start,date,0: policy not implemented;,,
PDSKLV,Paid sick leave,If a state previously mandated paid sick leave. Source: https://www.zenefits.com/workest/the-definitive-list-of-states-and-cities-with-paid-sick-leave-laws/. Often depends on business size.,pre_covid_policy,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: https://www.zenefits.com/workest/the-definitive-list-of-states-and-cities-with-paid-sick-leave-laws/. Often depends on business size.
MEDEXP,Medicaid Expansion,If a state had previously expanded Medicaid. Source: Kaiser Family Foundation,pre_covid_policy,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: Kaiser Family Foundation
POPDEN18,Population density per square miles,The population density of the state in square miles,population_density,quantity,people/square mile,"valid range: 1.11, 11,496.81",,
POP18,Population 2018,The total 2018 population. Source: WIQARS,state_characteristics,quantity,people,"valid range: 577,737, 39,557,405",,Source: WIQARS
SQML,Square Miles,The total size of the state in square miles,state_characteristics,quantity,square mile,"valid range: 61, 665,384",,
HMLS19,Number Homeless (2019),The number of homeless individuals in the state in 2019. Source: 2019 AHAR: Part 1 - PIT Estimates of Homelessness in the U.S. https://www.hudexchange.info/homelessness-assistance/ahar/#2019-reports,state_characteristics,quantity,people,"valid range: 558, 151,278",,Source: 2019 AHAR: Part 1 - PIT Estimates of Homelessness in the U.S. https://www.hudexchange.info/homelessness-assistance/ahar/#2019-reports
UNEMP18,Percent Unemployed (2018).,The percent unemployment in the state in 2018. Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),state_characteristics,quantity,percent,"valid range: 2.8, 7.5",,Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/)
POV18,Percent living under the federal poverty line (2018).,The percent of individuals in the state who were living under the federal poverty line in 2018. Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/),state_characteristics,quantity,percent,"valid range: 7.6, 19.7",,Source: 2018 American Community Survey 1-year estimates (https://data.census.gov/)
RISKCOV,Percent at risk for serious illness due to COVID,The percent of individuals in the state who were at risk for serious illness due to COVID. Source: Kaiser Family Foundation https://www.kff.org/global-health-policy/issue-brief/how-many-adults-are-at-risk-of-serious-illness-if-infected-with-coronavirus/,state_characteristics,quantity,percent,"valid range: 30.0, 49.3",,Source: Kaiser Family Foundation https://www.kff.org/global-health-policy/issue-brief/how-many-adults-are-at-risk-of-serious-illness-if-infected-with-coronavirus/
DEATH18,All-cause deaths 2018,"The people/year states all cause statewide. If states never stopped non-essential construction, they will be marked as valid 90",state_characteristics,quantity,people/year,"valid range: 4,453, 268,818",,Source: CDC Wonder
MH19,"Mental health professionals per 100,000 population in 2019","The number of mental health professionals in a state per 100,000 in 2019. All column data collected from: America's Health Rankings analysis of U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System, Sept. 2019; CDC WONDER Single Race Population Estimates 2010-2018, United Health Foundation, AmericasHealthRankings.org, Accessed 2020.",state_characteristics,quantity,"per 100,000","valid range: 100.1, 522.3",,Source: America's Health Rankings
CASSTATE,Were there casino(s) in State,Are there Casinos in a state for which an order could apply? The term casino includes both those defined as card rooms or casinos and included both those on land and on water.,state_characteristics,attribute,flag,"1,0","1=""YES"",0=""NO""",In addition to state executive orders the following resources were used to find the casino data: https://www.gambling.com/news/us/state-by-state-gambling-legislative-impact-of-coronavirus-2223300; https://www.worldcasinodirectory.com/united-states; https://www.500nations.com/Indian_Casinos.asp; https://en.wikipedia.org/wiki/List_of_casinos_in_the_United_States; https://www.gamblingsites.net/blog/top-10-fascinating-factoids-and-stats-about-casinos-by-state/; https://www.onlinepokerreport.com/casino-closures/#wv; https://www.casino.org/news/rhode-island-casinos-to-close-later-this-month-per-order-from-governor/
AIANRESN,State has at least one Indian/Alaska Native reservation,Whether a state has at least one Indian/Alaska Native Reservation,state_characteristics,attribute,flag,"1,0","1=""YES"",0=""NO""",
VBMEXC,"COVID-19 is not an acceptable reason to request application for mail-in ballot unless sick or exposed (as of September 1, 2020)","As of September 1, 2020 the states which required a reason other than the COVID-19 pandemic to request a mail in ballot for elections.",Vote by mail,attribute,flag,"1,0","1=""YES"",0=""NO""",
VBMSIG,"Witness or notary signature required for mail-in ballot (as of September 1, 2020)","As of September 1, 2020 the states which required a signature from a witness or notary for all mail in or absentee ballots. This information was cross-checked with 538 and Ballotpedia.",Vote by mail,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: https://ballotpedia.org/All-mail_voting; https://projects.fivethirtyeight.com/how-to-vote-2020/
VBMPERM,Permanent mail-in ballot system,State already had VBM policies in place statewide prior to the COVID-19 emergency. This information was cross-checked with 538 and Ballotpedia.,Vote by mail,attribute,flag,"1,0","1=""YES"",0=""NO""",Source: https://ballotpedia.org/All-mail_voting; https://projects.fivethirtyeight.com/how-to-vote-2020/
VBMAUTOBAL,"Automatic mail-in ballot system in response to COVID-19 (0,1,2 2 being conditional- see notes for details)",States automatically mail the ballot to registered voters in response to the COVID-19 pandemic.,Vote by mail,attribute,flag,"2,1,0","2=conditional, see notes for specific details 1=""YES"",0=""NO""",
VBMAUTOAP,"Automatic applications sent for mail-in ballots in response to COVID-19 (0,1,2 2 being conditional- see notes for details)",States automatically mail and application for the ballot to registered voters in response to the COVID-19 pandemic.,Vote by mail,attribute,flag,"2,1,0","2=conditional, see notes for specific details 1=""YES"",0=""NO""",
VBMGENELEC,Last date of receipt of mail-in ballot request for the general election (by mail or online),Last date to request a ballot for the general election by mail or online. Walk-in ballot request dates may differ by state.,Vote_by_mail,date,start,0: policy not implemented;,,
MINWAGE2015,2015 Minimum Wage,"The hourly minimum wage in each state in 2015. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGE2016,2016 Minimum Wage,"The hourly minimum wage in each state in 2016. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGE2017,2017 Minimum Wage,"The hourly minimum wage in each state in 2017. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGE2018,2018 Minimum Wage,"The hourly minimum wage in each state in 2018. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGE2019,2019 Minimum Wage,"The hourly minimum wage in each state in 2019. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGEJAN2020,Jan 1 2020 Minimum Wage,"The hourly minimum wage in each state as of January 1, 2020. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGEJUL2020,Jul 1 2020 Minimum Wage,"The hourly minimum wage in each state as of July 1, 2020. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGESEP2020,Sep 1 2020 Minimum Wage,"The hourly minimum wage in each state as of September 1, 2020. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
MINWAGEOCT2020,Oct 1 2020 Minimum Wage,"The hourly minimum wage in each state as of October 1, 2020. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
TIPMINWAGE2020,2020 Minimum Wage for Tipped Workers,The hourly minimum wage for tipped workers in each state in 2020,minimum_wage,quantity,dollars,,,
MINWAGE2021,2021 Minimum Wage,"The hourly minimum wage in each state in 2021. If a state has no official minimum wage or a minimum wage less than the federal minimum wage, the federal minimum wage is reported and the state value is specified in the notes.",minimum_wage,quantity,dollars,,,
SMALLBUSMINWAGE,Different Minimum Wage for Smaller Businesses,If a state sets a different hourly minimum wage for smaller businesses,minimum_wage,attribute,flag,0: policy not implemented;,,